RESOURCE,T,r1,r2,r3,r4,r5,6,r8,r9,r10
ENG12,214,172,171,171,161,387,136,65,110,120
ENG34,214,172,171,171,161,387,136,65,110,120
ENG56,214,172,171,171,161,387,136,65,110,120
ENG78,214,172,171,171,161,387,136,65,110,120
CRW,191,143,,277,221,529,239,,28,
DZR1,93,4,,60,,171,26,73,32,
DZR2,93,4,,60,,171,26,73,32,
DZR3,93,4,,60,,171,26,73,32,
TP12,93,4,,60,,171,26,73,32,
TP32,93,4,,60,,171,26,73,32,
TP56,93,4,,60,,171,26,73,32,
HEL1,76,69,,86,66,78,87,,,
HEL2,610,344,,313,431,721,562,,,
HEL3,320,294,,281,362,404,190,250,617,
HEL2EFF,372,334,,,334,,191,,,
TCRW20,683,533,620,588,522,887,661,678,635,
REGCRW20,872,,,,,872,,,,
